period_start,order_count,total_kwh,total_fees,data_version
2015-06-02,26,171.58000000,0.22000000,2.2.0
2015-06-03,20,156.35000000,11.39000000,2.2.0
2015-06-04,14,126.72000000,0.46000000,2.2.0
2015-06-05,21,202.85000000,0.78000000,2.2.0
2015-06-06,36,330.10000000,2.27000000,2.2.0
2015-06-07,29,202.27000000,10.08000000,2.2.0
2015-06-08,16,86.86000000,0.36000000,2.2.0
2015-06-09,24,179.32000000,1.72000000,2.2.0
2015-06-10,17,164.85000000,1.48000000,2.2.0
2015-06-11,16,159.97000000,1.10000000,2.2.0
2015-06-12,12,68.06000000,7.78000000,2.2.0
2015-06-13,34,269.59000000,10.65000000,2.2.0
2015-06-14,29,282.69000000,6.23000000,2.2.0
2015-06-15,24,165.37000000,0.28000000,2.2.0
2015-06-16,18,118.00000000,7.95000000,2.2.0
2015-06-17,20,135.99000000,0.60000000,2.2.0
2015-06-18,17,118.75000000,5.84000000,2.2.0
2015-06-19,21,132.84000000,0.21000000,2.2.0
2015-06-20,20,107.14000000,5.11000000,2.2.0
2015-06-21,21,202.37000000,5.12000000,2.2.0
2015-06-22,20,163.54000000,0E-8,2.2.0
2015-06-23,21,90.98000000,0E-8,2.2.0
2015-06-24,18,76.57000000,8.32000000,2.2.0
2015-06-25,20,167.77000000,0.63000000,2.2.0
2015-06-26,20,144.19000000,2.81000000,2.2.0
2015-06-27,17,140.75000000,4.84000000,2.2.0
2015-06-28,24,176.75000000,15.18000000,2.2.0
2015-07-01,26,211.99000000,2.44000000,2.2.0
2015-07-02,36,222.08000000,3.96000000,2.2.0
2015-07-03,38,204.53000000,6.36000000,2.2.0
2015-07-04,33,203.69000000,0E-8,2.2.0
2015-07-05,22,193.26000000,1.00000000,2.2.0
2015-07-06,27,178.51000000,10.64000000,2.2.0
2015-07-07,29,193.36000000,3.39000000,2.2.0
2015-07-08,23,211.68000000,17.72000000,2.2.0
2015-07-09,32,246.87000000,10.39000000,2.2.0
2015-07-10,35,267.64000000,10.57000000,2.2.0
2015-07-11,29,227.92000000,0.65000000,2.2.0
2015-07-12,33,203.74000000,3.94000000,2.2.0
2015-07-13,25,203.81000000,8.32000000,2.2.0
2015-07-14,22,162.83000000,12.87000000,2.2.0
2015-07-15,24,176.62000000,14.33000000,2.2.0
2015-07-16,35,260.04000000,16.90000000,2.2.0
2015-07-17,26,197.53000000,8.36000000,2.2.0
2015-07-18,28,172.74000000,15.80000000,2.2.0
2015-07-19,40,217.06000000,1.55000000,2.2.0
2015-07-20,42,312.64000000,13.81000000,2.2.0
2015-07-21,34,205.95000000,2.12000000,2.2.0
2015-07-22,30,221.05000000,1.52000000,2.2.0
2015-07-23,31,196.31000000,1.68000000,2.2.0
2015-07-24,31,243.73000000,8.61000000,2.2.0
2015-07-25,28,192.14000000,13.88000000,2.2.0
2015-07-26,34,216.56000000,3.53000000,2.2.0
2015-07-27,22,186.09000000,7.58000000,2.2.0
2015-07-28,26,231.83000000,0.66000000,2.2.0
2015-08-01,25,148.21000000,1.24000000,2.2.0
2015-08-02,38,258.61000000,13.01000000,2.2.0
2015-08-03,36,243.66000000,11.27000000,2.2.0
2015-08-04,45,282.24000000,14.96000000,2.2.0
2015-08-05,32,240.81000000,2.12000000,2.2.0
2015-08-06,26,210.10000000,4.62000000,2.2.0
2015-08-07,34,222.12000000,8.00000000,2.2.0
2015-08-08,30,243.62000000,10.85000000,2.2.0
2015-08-09,33,273.88000000,7.81000000,2.2.0
2015-08-10,28,199.67000000,6.74000000,2.2.0
2015-08-11,40,271.68000000,2.72000000,2.2.0
2015-08-12,24,174.02000000,25.33000000,2.2.0
2015-08-13,40,293.24000000,19.35000000,2.2.0
2015-08-14,34,221.41000000,6.38000000,2.2.0
2015-08-15,31,195.67000000,8.52000000,2.2.0
2015-08-16,41,352.97000000,9.31000000,2.2.0
2015-08-17,43,301.93000000,9.68000000,2.2.0
2015-08-18,32,235.23000000,1.45000000,2.2.0
2015-08-19,31,159.32000000,4.40000000,2.2.0
2015-08-20,36,298.06000000,5.26000000,2.2.0
2015-08-21,39,266.45000000,2.58000000,2.2.0
2015-08-22,27,194.33000000,0.60000000,2.2.0
2015-08-23,39,243.12000000,5.33000000,2.2.0
2015-08-24,35,245.23000000,9.46000000,2.2.0
2015-08-25,44,329.02000000,1.68000000,2.2.0
2015-08-26,32,241.65000000,0E-8,2.2.0
2015-08-27,37,248.47000000,2.66000000,2.2.0
2015-08-28,40,306.32000000,13.30000000,2.2.0
2015-09-01,47,320.77000000,0.96000000,2.2.0
2015-09-02,30,263.83000000,1.65000000,2.2.0
2015-09-03,38,224.09000000,3.37000000,2.2.0
2015-09-04,41,258.20000000,9.84000000,2.2.0
2015-09-05,37,290.89000000,2.90000000,2.2.0
2015-09-06,39,299.62000000,8.52000000,2.2.0
2015-09-07,41,320.37000000,7.05000000,2.2.0
2015-09-08,40,330.91000000,25.33000000,2.2.0
2015-09-09,30,212.41000000,7.34000000,2.2.0
2015-09-10,44,302.22000000,4.73000000,2.2.0
2015-09-11,45,318.50000000,5.04000000,2.2.0
2015-09-12,32,226.94000000,8.87000000,2.2.0
